"Number"	"Section"	"House"
2	"S601"	"Gryffindor"
4	"S601"	"Gryffindor"
5	"S601"	"Gryffindor"
6	"S601"	"Gryffindor"
7	"S601"	"Gryffindor"
13	"S601"	"Gryffindor"
14	"S601"	"Gryffindor"
15	"S601"	"Gryffindor"
16	"S601"	"Gryffindor"
18	"S601"	"Gryffindor"
20	"S601"	"Gryffindor"
23	"S601"	"Gryffindor"
1	"S601"	"Hufflepuff"
3	"S601"	"Hufflepuff"
8	"S601"	"Hufflepuff"
9	"S601"	"Hufflepuff"
10	"S601"	"Hufflepuff"
11	"S601"	"Hufflepuff"
12	"S601"	"Hufflepuff"
17	"S601"	"Hufflepuff"
19	"S601"	"Hufflepuff"
21	"S601"	"Hufflepuff"
22	"S601"	"Hufflepuff"
24	"S601"	"Hufflepuff"
2	"S602"	"Ravenclaw"
4	"S602"	"Ravenclaw"
6	"S602"	"Ravenclaw"
11	"S602"	"Ravenclaw"
12	"S602"	"Ravenclaw"
13	"S602"	"Ravenclaw"
16	"S602"	"Ravenclaw"
17	"S602"	"Ravenclaw"
18	"S602"	"Ravenclaw"
20	"S602"	"Ravenclaw"
22	"S602"	"Ravenclaw"
24	"S602"	"Ravenclaw"
1	"S602"	"Slytherin"
3	"S602"	"Slytherin"
5	"S602"	"Slytherin"
7	"S602"	"Slytherin"
8	"S602"	"Slytherin"
9	"S602"	"Slytherin"
10	"S602"	"Slytherin"
14	"S602"	"Slytherin"
15	"S602"	"Slytherin"
19	"S602"	"Slytherin"
21	"S602"	"Slytherin"
23	"S602"	"Slytherin"
2	"S603"	"Gryffindor"
3	"S603"	"Gryffindor"
5	"S603"	"Gryffindor"
11	"S603"	"Gryffindor"
13	"S603"	"Gryffindor"
14	"S603"	"Gryffindor"
16	"S603"	"Gryffindor"
17	"S603"	"Gryffindor"
18	"S603"	"Gryffindor"
20	"S603"	"Gryffindor"
22	"S603"	"Gryffindor"
23	"S603"	"Gryffindor"
1	"S603"	"Slytherin"
4	"S603"	"Slytherin"
6	"S603"	"Slytherin"
7	"S603"	"Slytherin"
8	"S603"	"Slytherin"
9	"S603"	"Slytherin"
10	"S603"	"Slytherin"
12	"S603"	"Slytherin"
15	"S603"	"Slytherin"
19	"S603"	"Slytherin"
21	"S603"	"Slytherin"
24	"S603"	"Slytherin"
